date,beta,close,volume,open
2021-04-26,1.73,42.62,88230000.0,41.96
2021-04-23,1.73,41.08,70580000.0,40.2
2021-04-22,1.73,39.57,115800000.0,38.99
2021-04-21,1.73,38.9,77450000.0,36.53
2021-04-20,1.73,36.93,71210000.0,37.17
2021-04-19,1.73,36.78,92190000.0,36.78
2021-04-16,1.73,36.09,84480000.0,34.69
2021-04-15,1.73,35.66,100440000.0,37.02
2021-04-14,1.73,37.02,78450000.0,39.23
2021-04-13,1.73,38.48,62010000.0,37.48
2021-04-12,1.73,37.14,53430000.0,37.96
2021-04-09,1.73,38.12,69270000.0,38.355
2021-04-08,1.73,38.7,63690000.0,37.62
2021-04-07,1.73,37.27,80020000.0,39.7
2021-04-06,1.73,40.0,67970000.0,38.83
2021-04-05,1.73,39.31,71420000.0,40.54
2021-04-01,1.73,39.66,116310000.0,41.56
2021-03-31,1.73,38.98,98300000.0,38.96
2021-03-30,1.73,37.55,106150000.0,35.2
2021-03-29,1.73,35.51,83190000.0,35.26
2021-03-26,1.73,36.13,163040000.0,35.65
2021-03-25,1.73,37.94,118080000.0,35.24
2021-03-24,1.73,36.96,130699999.99999999,41.2
2021-03-23,1.73,41.18,58540000.0,42.58
2021-03-22,1.73,42.94,72840000.0,44.07
2021-03-19,1.73,43.35,97660000.0,41.44
2021-03-18,1.73,41.63,71360000.0,43.3
2021-03-17,1.73,44.76,96150000.0,41.9
2021-03-16,1.73,43.68,84360000.0,45.04
2021-03-15,1.73,44.93,74440000.0,45.55
2021-03-12,1.73,45.5,113460000.0,43.51
2021-03-11,1.73,46.03,134790000.0,44.437
2021-03-10,1.73,41.32,190800000.0,43.5
2021-03-09,1.73,41.35,176600000.0,37.48
2021-03-08,1.73,35.21,143070000.0,36.97
2021-03-05,1.73,38.11,270800000.0,39.24
2021-03-04,1.73,39.28,205870000.0,40.49
2021-03-03,1.73,41.53,107860000.0,44.58
2021-03-02,1.73,43.29,161330000.0,46.11
2021-03-01,1.73,49.76,94240000.0,48.55
2021-02-26,1.73,45.78,100320000.0,47.0
2021-02-25,1.73,46.81,95510000.0,51.6
2021-02-24,1.73,51.86,82490000.0,49.31
2021-02-23,1.73,49.11,142540000.0,45.62
2021-02-22,1.73,50.68,68830000.0,54.18
2021-02-19,1.73,55.04,43020000.0,55.72
2021-02-18,1.73,54.43,62510000.0,55.45
2021-02-17,1.73,57.32,64200000.0,57.92
2021-02-16,1.73,59.23,55080000.0,60.4
2021-02-12,1.73,59.85,40230000.0,60.26
2021-02-11,1.73,60.27,55730000.0,61.69
2021-02-10,1.73,61.26,90370000.0,62.55
2021-02-09,1.73,62.84,97250000.0,58.95
2021-02-08,1.73,59.07,64260000.00000001,57.08
2021-02-05,1.73,56.67,43060000.0,57.74
2021-02-04,1.73,57.6,48670000.0,58.79
2021-02-03,1.73,57.98,80120000.0,55.96
2021-02-02,1.73,55.77,66230000.00000001,57.06
2021-02-01,1.73,56.99,79880000.0,59.07
2021-01-29,1.73,57.0,78680000.0,59.03
2021-01-28,1.73,58.37,73960000.0,56.76
2021-01-27,1.73,57.15,73080000.0,57.95
2021-01-26,1.73,60.31,70390000.0,60.04
2021-01-25,1.73,59.99,111990000.0,64.05
2021-01-22,1.73,61.95,133919999.99999999,58.95
2021-01-21,1.73,58.34,73120000.0,57.02
2021-01-20,1.73,57.71,94980000.0,59.85
2021-01-19,1.73,58.44,99560000.0,58.21
2021-01-15,1.73,56.27,132250000.0,59.84
2021-01-14,1.73,60.87,99340000.0,62.63
2021-01-13,1.73,62.15,116060000.0,62.94
2021-01-12,1.73,62.04,184850000.0,61.42
2021-01-11,1.73,62.7,279770000.0,64.95
2021-01-08,1.73,58.92,218510000.0,57.76
2021-01-07,1.73,54.28,119430000.0,53.05
2021-01-06,1.73,50.5,176400000.0,54.02
2021-01-05,1.73,53.2,147470000.0,51.97
2021-01-04,1.73,53.49,213110000.0,51.2
2020-12-31,1.73,48.74,129340000.0,48.46
2020-12-30,1.73,48.38,116690000.0,46.5
2020-12-29,1.73,46.14,120690000.0,43.7
2020-12-28,1.73,44.06,105080000.0,46.67
2020-12-24,1.73,45.77,60580000.0,46.88
2020-12-23,1.73,47.01,81250000.0,47.48
2020-12-22,1.73,47.58,117430000.0,49.61
